start,end,"Form 3. This form is regarding flooding and maintenance. To answer the questions, please interview a person from that area","Section 1: General information and safety In this section, you will answer general information.",1.1 Your safety is our priority. ,1.2 Team code,Section 2: Questions are related to  flood and maintenance ,2.1 Does the drain have a history of flooding?,2.1 Does the drain have a history of flooding?/Yes,2.1 Does the drain have a history of flooding?/No,2.1 Does the drain have a history of flooding?/Cannot find info.,"2.2 During heavy rain, approx. height of water that flows on the road?",2.3 Does desilting happen often?,2.4 When was this SWD last cleaned?,2.5 Does the local community know who maintains the drain? ,Thank you for filling the audit form ,_id,_uuid,_submission_time,_validation_status,_notes,_status,_submitted_by,__version__,_tags,meta/rootUuid,_index,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22-02-2026,22-02-2026,,,"Yes, I feel safe to conduct audit",A28,,Cannot find info.,0,0,1,Cannot find info. ,Cannot find info.,Cannot find info.,Do not know,OK,677262291,898fdc55-c089-4a0e-888a-edf88979a2ec,22-02-2026,,,submitted_via_web,,v5gRYdvNEMSpkDy6nZJagS,,uuid:898fdc55-c089-4a0e-888a-edf88979a2ec,58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22-02-2026,22-02-2026,,,"Yes, I feel safe to conduct audit",A28,,Yes,1,0,0,Cannot find info. ,Do not know,Cannot find info.,Do not know,OK,677262599,8f6e3f66-f4f1-40c9-80c6-89300e8f2278,22-02-2026,,,submitted_via_web,,v5gRYdvNEMSpkDy6nZJagS,,uuid:8f6e3f66-f4f1-40c9-80c6-89300e8f2278,59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22-02-2026,22-02-2026,,,"Yes, I feel safe to conduct audit",A29,,No,0,1,0,Does not flood,Do not know,More than 6 months,GBA (Previously known as BBMP) Ward Office,OK,677263560,22257ffb-769a-4aa1-ab2e-121d96033cd8,22-02-2026,,,submitted_via_web,,v5gRYdvNEMSpkDy6nZJagS,,uuid:22257ffb-769a-4aa1-ab2e-121d96033cd8,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22-02-2026,22-02-2026,,,"Yes, I feel safe to conduct audit",A26,,Yes,1,0,0,2-5 inches,Every 6 months,More than 6 months,GBA (Previously known as BBMP) Ward Office,OK,677263943,51061b46-a297-42a4-84fa-1a0260f431e5,22-02-2026,,,submitted_via_web,,v5gRYdvNEMSpkDy6nZJagS,,uuid:51061b46-a297-42a4-84fa-1a0260f431e5,61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22-02-2026,22-02-2026,,,"Yes, I feel safe to conduct audit",A29,,Cannot find info.,0,0,1,Does not flood,Cannot find info.,Cannot find info.,Do not know,OK,677264864,e061339a-8b48-434e-ad16-b84cbab286df,22-02-2026,,,submitted_via_web,,v5gRYdvNEMSpkDy6nZJagS,,uuid:e061339a-8b48-434e-ad16-b84cbab286df,62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22-02-2026,22-02-2026,,,"Yes, I feel safe to conduct audit",A29,,Cannot find info.,0,0,1,Cannot find info. ,Cannot find info.,Cannot find info.,Do not know,OK,677266336,279d2ca1-b72c-4d69-a97c-e1bfd6817c69,22-02-2026,,,submitted_via_web,,v5gRYdvNEMSpkDy6nZJagS,,uuid:279d2ca1-b72c-4d69-a97c-e1bfd6817c69,63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22-02-2026,22-02-2026,,,"Yes, I feel safe to conduct audit",A29,,Cannot find info.,0,0,1,Cannot find info. ,Cannot find info.,Cannot find info.,Do not know,OK,677267722,98c3e89c-303b-47ed-81c2-872e5a07013c,22-02-2026,,,submitted_via_web,,v5gRYdvNEMSpkDy6nZJagS,,uuid:98c3e89c-303b-47ed-81c2-872e5a07013c,64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22-02-2026,22-02-2026,,,"Yes, I feel safe to conduct audit",A28,,Yes,1,0,0,6-10 inches,Do not know,More than 6 months,No one,OK,677269380,868afe2c-d72f-4964-ad55-1a6602d29a8c,22-02-2026,,,submitted_via_web,,v5gRYdvNEMSpkDy6nZJagS,,uuid:868afe2c-d72f-4964-ad55-1a6602d29a8c,65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22-02-2026,22-02-2026,,,"Yes, I feel safe to conduct audit",A29,,Yes,1,0,0,6-10 inches,Do not know,2-6 months back,GBA (Previously known as BBMP) Ward Office,OK,677270566,010cfc78-5eba-4a34-aaa2-a8d3cf77c0af,22-02-2026,,,submitted_via_web,,v5gRYdvNEMSpkDy6nZJagS,,uuid:010cfc78-5eba-4a34-aaa2-a8d3cf77c0af,66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22-02-2026,22-02-2026,,,"Yes, I feel safe to conduct audit",A29,,Yes,1,0,0,6-10 inches,Do not know,More than 6 months,Do not know,OK,677273448,07a29c80-7176-40cb-9212-3bb7f5bd4a82,22-02-2026,,,submitted_via_web,,v5gRYdvNEMSpkDy6nZJagS,,uuid:07a29c80-7176-40cb-9212-3bb7f5bd4a82,67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22-02-2026,22-02-2026,,,"Yes, I feel safe to conduct audit",A27,,Yes,1,0,0,2-5 inches,Once a year,More than 6 months,GBA (Previously known as BBMP) Ward Office,OK,677276943,819ef5f7-fc7a-430d-9422-9ae02a2a8195,22-02-2026,,,submitted_via_web,,v5gRYdvNEMSpkDy6nZJagS,,uuid:819ef5f7-fc7a-430d-9422-9ae02a2a8195,68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22-02-2026,22-02-2026,,,"Yes, I feel safe to conduct audit",A27,,No,0,1,0,Does not flood,Do not know,More than 6 months,GBA (Previously known as BBMP) Ward Office,OK,677277375,d765e254-3f28-442a-a157-bdc37d5aed7d,22-02-2026,,,submitted_via_web,,v5gRYdvNEMSpkDy6nZJagS,,uuid:d765e254-3f28-442a-a157-bdc37d5aed7d,69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22-02-2026,22-02-2026,,,"Yes, I feel safe to conduct audit",A27,,Yes,1,0,0,6-10 inches,Do not know,More than 6 months,GBA (Previously known as BBMP) Ward Office,OK,677277382,14b6f77b-ff6b-471b-a7d8-d78c70e4293e,22-02-2026,,,submitted_via_web,,v5gRYdvNEMSpkDy6nZJagS,,uuid:14b6f77b-ff6b-471b-a7d8-d78c70e4293e,70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22-02-2026,22-02-2026,,,"Yes, I feel safe to conduct audit",A27,,No,0,1,0,More than 10 inches,Do not know,More than 6 months,GBA (Previously known as BBMP) Ward Office,OK,677277388,9d4cb25c-9861-4722-869a-63b09ddad754,22-02-2026,,,submitted_via_web,,v5gRYdvNEMSpkDy6nZJagS,,uuid:9d4cb25c-9861-4722-869a-63b09ddad754,71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22-02-2026,22-02-2026,,,"Yes, I feel safe to conduct audit",A27,,No,0,1,0,Does not flood,Do not know,More than 6 months,Do not know,OK,677277396,e471f7e9-d538-43fe-a500-4268865eb120,22-02-2026,,,submitted_via_web,,v5gRYdvNEMSpkDy6nZJagS,,uuid:e471f7e9-d538-43fe-a500-4268865eb120,72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22-02-2026,22-02-2026,,,"Yes, I feel safe to conduct audit",A27,,Yes,1,0,0,Upto  1 inch,Do not know,2-6 months back,GBA (Previously known as BBMP) Ward Office,OK,677277401,01fcc509-1220-4a3a-9104-f7d8454b2dfa,22-02-2026,,,submitted_via_web,,v5gRYdvNEMSpkDy6nZJagS,,uuid:01fcc509-1220-4a3a-9104-f7d8454b2dfa,73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22-02-2026,22-02-2026,,,"Yes, I feel safe to conduct audit",A27,,Yes,1,0,0,2-5 inches,Once a year,Cannot find info.,No one,OK,677277402,90673603-f3f3-497e-ae8c-02ffac0e4e2c,22-02-2026,,,submitted_via_web,,v5gRYdvNEMSpkDy6nZJagS,,uuid:90673603-f3f3-497e-ae8c-02ffac0e4e2c,74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22-02-2026,22-02-2026,,,"Yes, I feel safe to conduct audit",A27,,Cannot find info.,0,0,1,Cannot find info. ,Cannot find info.,Cannot find info.,Do not know,OK,677277406,a20ae620-9714-411c-9db6-d1ca235e52ac,22-02-2026,,,submitted_via_web,,v5gRYdvNEMSpkDy6nZJagS,,uuid:a20ae620-9714-411c-9db6-d1ca235e52ac,75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22-02-2026,22-02-2026,,,"Yes, I feel safe to conduct audit",A27,,No,0,1,0,Does not flood,Do not know,More than 6 months,No one,OK,677277410,15b415a4-0170-4335-9e9b-49fd9e928641,22-02-2026,,,submitted_via_web,,v5gRYdvNEMSpkDy6nZJagS,,uuid:15b415a4-0170-4335-9e9b-49fd9e928641,76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22-02-2026,22-02-2026,,,"Yes, I feel safe to conduct audit",A26,,No,0,1,0,Does not flood,Once a year,More than 6 months,GBA (Previously known as BBMP) Ward Office,OK,677279263,22f8e1bb-0559-4677-9a07-320d1177aa65,22-02-2026,,,submitted_via_web,,v5gRYdvNEMSpkDy6nZJagS,,uuid:22f8e1bb-0559-4677-9a07-320d1177aa65,77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22-02-2026,22-02-2026,,,"Yes, I feel safe to conduct audit",A26,,Yes,1,0,0,2-5 inches,Once a year,More than 6 months,GBA (Previously known as BBMP) Ward Office,,677279264,a685908c-da91-4510-b80a-e2d7db46ca3e,22-02-2026,,,submitted_via_web,,v5gRYdvNEMSpkDy6nZJagS,,uuid:a685908c-da91-4510-b80a-e2d7db46ca3e,78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22-02-2026,22-02-2026,,,"Yes, I feel safe to conduct audit",A26,,No,0,1,0,Does not flood,Once a year,More than 6 months,GBA (Previously known as BBMP) Ward Office,OK,677279265,af41a3e3-0111-4557-98d9-dd2455d0811b,22-02-2026,,,submitted_via_web,,v5gRYdvNEMSpkDy6nZJagS,,uuid:af41a3e3-0111-4557-98d9-dd2455d0811b,79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22-02-2026,22-02-2026,,,"Yes, I feel safe to conduct audit",A26,,No,0,1,0,Upto  1 inch,Once a year,More than 6 months,GBA (Previously known as BBMP) Ward Office,OK,677279268,4b97ce09-a716-4bc7-89f6-26014201f27b,22-02-2026,,,submitted_via_web,,v5gRYdvNEMSpkDy6nZJagS,,uuid:4b97ce09-a716-4bc7-89f6-26014201f27b,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22-02-2026,22-02-2026,,,"Yes, I feel safe to conduct audit",A26,,No,0,1,0,Upto  1 inch,Once a year,More than 6 months,GBA (Previously known as BBMP) Ward Office,OK,677279270,231bedaf-464e-4a4b-869f-e44ac8933ede,22-02-2026,,,submitted_via_web,,v5gRYdvNEMSpkDy6nZJagS,,uuid:231bedaf-464e-4a4b-869f-e44ac8933ede,81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22-02-2026,22-02-2026,,,"Yes, I feel safe to conduct audit",A22,,No,0,1,0,Does not flood,Once a year,2-6 months back,Do not know,OK,677290428,65e60678-df42-4645-9ae7-155c9ef223a4,22-02-2026,,,submitted_via_web,,v5gRYdvNEMSpkDy6nZJagS,,uuid:65e60678-df42-4645-9ae7-155c9ef223a4,82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22-02-2026,22-02-2026,,,"Yes, I feel safe to conduct audit",A22,,No,0,1,0,Does not flood,Once a year,2-6 months back,GBA (Previously known as BBMP) Ward Office,OK,677290434,7baf41ef-1f85-4fb4-9cec-2dace8f199f0,22-02-2026,,,submitted_via_web,,v5gRYdvNEMSpkDy6nZJagS,,uuid:7baf41ef-1f85-4fb4-9cec-2dace8f199f0,83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22-02-2026,22-02-2026,,,"Yes, I feel safe to conduct audit",A22,,No,0,1,0,Does not flood,Every 6 months,More than 6 months,Do not know,OK,677290436,2e4d41e6-0261-4d7b-90b6-86e04d383fa4,22-02-2026,,,submitted_via_web,,v5gRYdvNEMSpkDy6nZJagS,,uuid:2e4d41e6-0261-4d7b-90b6-86e04d383fa4,84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22-02-2026,22-02-2026,,,"Yes, I feel safe to conduct audit",A24,,No,0,1,0,Does not flood,Do not know,Cannot find info.,GBA (Previously known as BBMP) Ward Office,OK,677290442,645bcb09-578d-450b-8883-40eb213d9da2,22-02-2026,,,submitted_via_web,,v5gRYdvNEMSpkDy6nZJagS,,uuid:645bcb09-578d-450b-8883-40eb213d9da2,85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22-02-2026,22-02-2026,,,"Yes, I feel safe to conduct audit",A22,,No,0,1,0,Does not flood,Every 6 months,2-6 months back,Do not know,OK,677290443,236d4efd-b909-410a-aedf-43a9467db4e7,22-02-2026,,,submitted_via_web,,v5gRYdvNEMSpkDy6nZJagS,,uuid:236d4efd-b909-410a-aedf-43a9467db4e7,86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22-02-2026,22-02-2026,,,"Yes, I feel safe to conduct audit",A22,,Cannot find info.,0,0,1,Cannot find info. ,Cannot find info.,Cannot find info.,Do not know,OK,677290450,fb10d3e0-b048-4e0e-90bf-59fa38a56913,22-02-2026,,,submitted_via_web,,v5gRYdvNEMSpkDy6nZJagS,,uuid:fb10d3e0-b048-4e0e-90bf-59fa38a56913,87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22-02-2026,22-02-2026,,,"Yes, I feel safe to conduct audit",A23,,No,0,1,0,Does not flood,Cannot find info.,Cannot find info.,GBA (Previously known as BBMP) Ward Office,OK,677290452,26f1fe90-d56d-4a22-805e-4e7db9b25ecd,22-02-2026,,,submitted_via_web,,v5gRYdvNEMSpkDy6nZJagS,,uuid:26f1fe90-d56d-4a22-805e-4e7db9b25ecd,88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22-02-2026,22-02-2026,,,"Yes, I feel safe to conduct audit",A22,,No,0,1,0,Does not flood,Every 6 months,2-6 months back,Do not know,OK,677290456,6a7e637c-247f-484a-8080-480fdcd84e0f,22-02-2026,,,submitted_via_web,,v5gRYdvNEMSpkDy6nZJagS,,uuid:6a7e637c-247f-484a-8080-480fdcd84e0f,89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22-02-2026,22-02-2026,,,"Yes, I feel safe to conduct audit",A23,,No,0,1,0,Does not flood,Do not know,Cannot find info.,GBA (Previously known as BBMP) Ward Office,OK,677290457,20092021-b9f9-49a7-8447-a871330b7db5,22-02-2026,,,submitted_via_web,,v5gRYdvNEMSpkDy6nZJagS,,uuid:20092021-b9f9-49a7-8447-a871330b7db5,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22-02-2026,22-02-2026,,,"Yes, I feel safe to conduct audit",A23,,No,0,1,0,Does not flood,,Cannot find info.,GBA (Previously known as BBMP) Ward Office,OK,677290463,e6bc6510-fbb7-4ec0-a88b-eb9e9f17c8e6,22-02-2026,,,submitted_via_web,,v5gRYdvNEMSpkDy6nZJagS,,uuid:e6bc6510-fbb7-4ec0-a88b-eb9e9f17c8e6,91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22-02-2026,22-02-2026,,,"Yes, I feel safe to conduct audit",A22,,Yes,1,0,0,2-5 inches,Every 6 months,More than 6 months,Do not know,OK,677290465,1f0a7b5e-1c92-4540-a290-6d15b38b9de2,22-02-2026,,,submitted_via_web,,v5gRYdvNEMSpkDy6nZJagS,,uuid:1f0a7b5e-1c92-4540-a290-6d15b38b9de2,92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22-02-2026,22-02-2026,,,"Yes, I feel safe to conduct audit",A23,,No,0,1,0,2-5 inches,Do not know,Cannot find info.,GBA (Previously known as BBMP) Ward Office,OK,677290468,2537d072-8dd1-4dca-9512-80a3d368eb43,22-02-2026,,,submitted_via_web,,v5gRYdvNEMSpkDy6nZJagS,,uuid:2537d072-8dd1-4dca-9512-80a3d368eb43,93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22-02-2026,22-02-2026,,,"Yes, I feel safe to conduct audit",A24,,No,0,1,0,Does not flood,Do not know,Last month,Do not know,OK,677290505,bffe545a-610e-48f2-8f3f-6a9476e95a83,22-02-2026,,,submitted_via_web,,v5gRYdvNEMSpkDy6nZJagS,,uuid:bffe545a-610e-48f2-8f3f-6a9476e95a83,94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22-02-2026,22-02-2026,,,"Yes, I feel safe to conduct audit",A24,,No,0,1,0,Does not flood,Every 6 months,Cannot find info.,Do not know,OK,677290511,e64e9e47-0307-4319-ba8b-c76e147f44d5,22-02-2026,,,submitted_via_web,,v5gRYdvNEMSpkDy6nZJagS,,uuid:e64e9e47-0307-4319-ba8b-c76e147f44d5,95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22-02-2026,22-02-2026,,,"Yes, I feel safe to conduct audit",A24,,No,0,1,0,Does not flood,Once a year,Cannot find info.,Do not know,OK,677290517,35c04d6a-755a-4d23-b784-b783dda32b54,22-02-2026,,,submitted_via_web,,v5gRYdvNEMSpkDy6nZJagS,,uuid:35c04d6a-755a-4d23-b784-b783dda32b54,96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22-02-2026,22-02-2026,,,"Yes, I feel safe to conduct audit",A24,,Yes,1,0,0,More than 10 inches,Once a year,More than 6 months,Do not know,OK,677290524,bf2867ed-d0fe-4e37-b739-7b2400e6b42b,22-02-2026,,,submitted_via_web,,v5gRYdvNEMSpkDy6nZJagS,,uuid:bf2867ed-d0fe-4e37-b739-7b2400e6b42b,97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22-02-2026,22-02-2026,,,"Yes, I feel safe to conduct audit",A24,,No,0,1,0,Does not flood,Cannot find info.,Cannot find info.,Private,OK,677290527,1ff06141-39a6-4bc7-a11e-b13089742d72,22-02-2026,,,submitted_via_web,,v5gRYdvNEMSpkDy6nZJagS,,uuid:1ff06141-39a6-4bc7-a11e-b13089742d72,98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22-02-2026,22-02-2026,,,"Yes, I feel safe to conduct audit",A24,,No,0,1,0,Does not flood,Cannot find info.,Cannot find info.,No one,OK,677290531,bf124b60-732f-43f1-a87b-2537f142988a,22-02-2026,,,submitted_via_web,,v5gRYdvNEMSpkDy6nZJagS,,uuid:bf124b60-732f-43f1-a87b-2537f142988a,99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22-02-2026,22-02-2026,,,"Yes, I feel safe to conduct audit",A24,,No,0,1,0,Does not flood,Do not know,Cannot find info.,No one,OK,677290533,baa53edf-9e29-41c1-8953-97a5c763284a,22-02-2026,,,submitted_via_web,,v5gRYdvNEMSpkDy6nZJagS,,uuid:baa53edf-9e29-41c1-8953-97a5c763284a,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22-02-2026,22-02-2026,,,"Yes, I feel safe to conduct audit",A25,,No,0,1,0,Does not flood,Cannot find info.,Cannot find info.,No one,OK,677290534,5e9ba2e0-d3cf-47c9-9d20-e418ed6fc61a,22-02-2026,,,submitted_via_web,,v5gRYdvNEMSpkDy6nZJagS,,uuid:5e9ba2e0-d3cf-47c9-9d20-e418ed6fc61a,101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22-02-2026,22-02-2026,,,"Yes, I feel safe to conduct audit",A23,,No,0,1,0,Does not flood,Once a year,More than 6 months,Do not know,OK,677290576,36385aef-6600-4c6d-9a0e-de468a06a170,22-02-2026,,,submitted_via_web,,v5gRYdvNEMSpkDy6nZJagS,,uuid:36385aef-6600-4c6d-9a0e-de468a06a170,102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22-02-2026,22-02-2026,,,"Yes, I feel safe to conduct audit",A23,,No,0,1,0,Does not flood,Do not know,Cannot find info.,Do not know,OK,677290580,1bf7c450-dcbd-40d5-866a-9657574eebb9,22-02-2026,,,submitted_via_web,,v5gRYdvNEMSpkDy6nZJagS,,uuid:1bf7c450-dcbd-40d5-866a-9657574eebb9,103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22-02-2026,22-02-2026,,,"Yes, I feel safe to conduct audit",A23,,No,0,1,0,Does not flood,Once a year,Cannot find info.,GBA (Previously known as BBMP) Ward Office,OK,677290585,10519ea9-7090-4966-bc91-5607a0a1e02a,22-02-2026,,,submitted_via_web,,v5gRYdvNEMSpkDy6nZJagS,,uuid:10519ea9-7090-4966-bc91-5607a0a1e02a,104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22-02-2026,22-02-2026,,,"Yes, I feel safe to conduct audit",A25,,Cannot find info.,0,0,1,Cannot find info. ,Cannot find info.,Cannot find info.,Do not know,OK,677290595,54b01ef1-09f4-4c2e-b3cf-ce211a7b174c,22-02-2026,,,submitted_via_web,,v5gRYdvNEMSpkDy6nZJagS,,uuid:54b01ef1-09f4-4c2e-b3cf-ce211a7b174c,105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22-02-2026,22-02-2026,,,"Yes, I feel safe to conduct audit",A25,,No,0,1,0,Does not flood,Every 6 months,More than 6 months,Do not know,OK,677290602,e6c3b87a-3f08-427d-8a1a-9ffe32598f85,22-02-2026,,,submitted_via_web,,v5gRYdvNEMSpkDy6nZJagS,,uuid:e6c3b87a-3f08-427d-8a1a-9ffe32598f85,106,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22-02-2026,22-02-2026,,,"Yes, I feel safe to conduct audit",A25,,No,0,1,0,Does not flood,Every 6 months,2-6 months back,GBA (Previously known as BBMP) Ward Office,OK,677290607,b0de5c70-038b-4141-9851-34cb4b569ba5,22-02-2026,,,submitted_via_web,,v5gRYdvNEMSpkDy6nZJagS,,uuid:b0de5c70-038b-4141-9851-34cb4b569ba5,107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22-02-2026,22-02-2026,,,"Yes, I feel safe to conduct audit",A25,,No,0,1,0,Does not flood,Every 6 months,2-6 months back,GBA (Previously known as BBMP) Ward Office,OK,677290614,bb395b70-4688-41ee-bb63-ded1bd136827,22-02-2026,,,submitted_via_web,,v5gRYdvNEMSpkDy6nZJagS,,uuid:bb395b70-4688-41ee-bb63-ded1bd136827,108,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22-02-2026,22-02-2026,,,"Yes, I feel safe to conduct audit",A25,,No,0,1,0,Does not flood,Every 6 months,2-6 months back,GBA (Previously known as BBMP) Ward Office,OK,677290622,05445034-ad08-4bc8-ac60-20c43d17feff,22-02-2026,,,submitted_via_web,,v5gRYdvNEMSpkDy6nZJagS,,uuid:05445034-ad08-4bc8-ac60-20c43d17feff,109,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22-02-2026,22-02-2026,,,"Yes, I feel safe to conduct audit",A25,,Yes,1,0,0,6-10 inches,Every 6 months,2-6 months back,GBA (Previously known as BBMP) Ward Office,OK,677290702,fd3586d2-6698-422f-87f8-5497196546b2,22-02-2026,,,submitted_via_web,,v5gRYdvNEMSpkDy6nZJagS,,uuid:fd3586d2-6698-422f-87f8-5497196546b2,110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22-02-2026,22-02-2026,,,"Yes, I feel safe to conduct audit",A28,,Cannot find info.,0,0,1,Cannot find info. ,Cannot find info.,2-6 months back,Do not know,OK,677300419,534c8b79-9183-4d6a-9a50-639d54617e2a,22-02-2026,,,submitted_via_web,,v5gRYdvNEMSpkDy6nZJagS,,uuid:534c8b79-9183-4d6a-9a50-639d54617e2a,111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22-02-2026,22-02-2026,,,"Yes, I feel safe to conduct audit",A27,,Yes,1,0,0,2-5 inches,Cannot find info.,Cannot find info.,No one,OK,677564603,be6337e9-d441-40d8-9963-1a2b765d93d3,22-02-2026,,,submitted_via_web,,v5gRYdvNEMSpkDy6nZJagS,,uuid:be6337e9-d441-40d8-9963-1a2b765d93d3,112,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22-02-2026,22-02-2026,,,"Yes, I feel safe to conduct audit",A27,,Yes,1,0,0,More than 10 inches,Do not know,Cannot find info.,No one,OK,677564946,b189b8e0-b2c1-44b4-822a-816e3625ba5e,22-02-2026,,,submitted_via_web,,v5gRYdvNEMSpkDy6nZJagS,,uuid:b189b8e0-b2c1-44b4-822a-816e3625ba5e,113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19-02-2026,19-02-2026,,,"Yes, I feel safe to conduct audit",A12,,Cannot find info.,0,0,1,Cannot find info. ,Do not know,Cannot find info.,Do not know,OK,677746907,544692aa-70c5-47a5-b644-7fac1fff3f01,23-02-2026,,,submitted_via_web,,v5gRYdvNEMSpkDy6nZJagS,,uuid:544692aa-70c5-47a5-b644-7fac1fff3f01,114,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23-02-2026,23-02-2026,,,"Yes, I feel safe to conduct audit",A15,,No,0,1,0,6-10 inches,Cannot find info.,More than 6 months,GBA (Previously known as BBMP) Ward Office,OK,677760781,ea9ae0ab-042b-4b0e-9913-3e150002936f,23-02-2026,,,submitted_via_web,,vJEYTnih43h86inVikMyrj,,uuid:ea9ae0ab-042b-4b0e-9913-3e150002936f,115,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
